Country Code,Short Name,Table Name,Long Name,2-alpha code,Currency Unit,Special Notes,Region,Income Group,WB-2 code,National accounts base year,National accounts reference year,SNA price valuation,Lending category,Other groups,System of National Accounts,Alternative conversion factor,PPP survey year,Balance of Payments Manual in use,External debt Reporting status,System of trade,Government Accounting concept,IMF data dissemination standard,Latest population census,Latest household survey,Source of most recent Income and expenditure data,Vital registration complete,Latest agricultural census,Latest industrial data,Latest trade data,,,
HTI,Haiti,Haiti,Republic of Haiti,HT,Haitian gourde,"The reporting period for national accounts data is designated as either calendar year basis (CY) or fiscal year basis (FY). For this country, it is fiscal year-based (fiscal year-end: September 30). Also, an estimate (PA.NUS.ATLS) of the exchange rate covers the same period and thus differs from the official exchange rate (CY).",Latin America & Caribbean,Lower middle income,HT,2011/12,,Value added at basic prices (VAB),IDA,HIPC,Country uses the 2008 System of National Accounts methodology,,,BPM5 (Converted into BPM6 by IMF),Actual,,,Enhanced General Data Dissemination System (e-GDDS),2003,"Demographic and Health Survey, 2016/17","Integrated household survey (IHS), 2012",,2008-2009,,,,,"('HTI','Haiti','Republic of Haiti','HT','Latin America & Caribbean','Lower middle income','HT'),"
HUN,Hungary,Hungary,Hungary,HU,Hungarian forint,,Europe & Central Asia,High income,HU,Original chained constant price data are rescaled.,2015,Value added at basic prices (VAB),,,Country uses the 2008 System of National Accounts methodology,,,BPM6,,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2011,"World Health Survey, 2003","Income survey (IS), 2014",Yes,2010,2013,2018,,,"('HUN','Hungary','Hungary','HU','Europe & Central Asia','High income','HU'),"
IBD,IBRD only,IBRD only,IBRD only,XF,,IBRD only group aggregate.,,,XF,,,,,,,,,,,,,,,,,,,,,,,"('IBD','IBRD only','IBRD only','XF','','','XF'),"
IBT,IDA & IBRD total,IDA & IBRD total,IDA & IBRD total,ZT,,"IDA and IBRD total group aggregate (includes IDA only, IDA blend, and IBRD only).",,,ZT,,,,,,,,,,,,,,,,,,,,,,,"('IBT','IDA & IBRD total','IDA & IBRD total','ZT','','','ZT'),"
IDA,IDA total,IDA total,IDA total,XG,,IDA total group aggregate (includes IDA only and IDA blend).,,,XG,,,,,,,,,,,,,,,,,,,,,,,"('IDA','IDA total','IDA total','XG','','','XG'),"
IDB,IDA blend,IDA blend,IDA blend,XH,,IDA blend group aggregate.,,,XH,,,,,,,,,,,,,,,,,,,,,,,"('IDB','IDA blend','IDA blend','XH','','','XH'),"
IDN,Indonesia,Indonesia,Republic of Indonesia,ID,Indonesian rupiah,Fiscal year end: March 31; reporting period for national accounts data: CY. Data for Indonesia include Timor-Leste through 1999 unless otherwise noted.,East Asia & Pacific,Lower middle income,ID,2010,,Value added at basic prices (VAB),IBRD,,Country uses the 2008 System of National Accounts methodology,,,BPM6,Actual,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2020 (expected),"Demographic and Health Survey, 2017; Indonesia Young Adult Reproductive Health Survey , 2017","Integrated household survey (IHS), 2017",,2013,2013,2018,,,"('IDN','Indonesia','Republic of Indonesia','ID','East Asia & Pacific','Lower middle income','ID'),"
IDX,IDA only,IDA only,IDA only,XI,,IDA only group aggregate.,,,XI,,,,,,,,,,,,,,,,,,,,,,,"('IDX','IDA only','IDA only','XI','','','XI'),"
IMN,Isle of Man,Isle of Man,Isle of Man,IM,Pound sterling,"Classification for years after 2012 was adjusted and figures were re-estimated by the World Bank, based on the detailed data published by the Cabinet Office, and are not consistent with data for 2011 and before.",Europe & Central Asia,High income,IM,Original chained constant price data are rescaled.,2015,Value added at basic prices (VAB),,,Country uses the 2008 System of National Accounts methodology,,,,,,,,2016,,,Yes,,,,,,"('IMN','Isle of Man','Isle of Man','IM','Europe & Central Asia','High income','IM'),"
IND,India,India,Republic of India,IN,Indian rupee,"The reporting period for national accounts data is designated as either calendar year basis (CY) or fiscal year basis (FY). For this country, it is fiscal year-based (fiscal year-end: March 31). Also, an estimate (PA.NUS.ATLS) of the exchange rate covers the same period and thus differs from the official exchange rate (CY).",South Asia,Lower middle income,IN,2011/12,,Value added at basic prices (VAB),IBRD,,Country uses the 2008 System of National Accounts methodology,,,BPM6,Actual,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2011,"Demographic and Health Survey, 2019/20","Integrated household survey (IHS), 2011/12",,2010-2011,2014,2018,,,"('IND','India','Republic of India','IN','South Asia','Lower middle income','IN'),"
IRL,Ireland,Ireland,Ireland,IE,Euro,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 0.787564 Irish pound. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",Europe & Central Asia,High income,IE,Original chained constant price data are rescaled.,2015,Value added at basic prices (VAB),,Euro area,Country uses the 2008 System of National Accounts methodology,,,BPM6,,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2016,,"Income survey (IS), 2015",Yes,2010,2012,2018,,,"('IRL','Ireland','Ireland','IE','Europe & Central Asia','High income','IE'),"
IRN,Iran,"Iran, Islamic Rep.",Islamic Republic of Iran,IR,Iranian rial,"The reporting period for national accounts data is designated as either calendar year basis (CY) or fiscal year basis (FY). For this country, it is fiscal year-based (fiscal year-end: March 20).  

The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to 1972-2021. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",Middle East & North Africa,Lower middle income,IR,2016/17,,Value added at basic prices (VAB),IBRD,,Country uses the 2008 System of National Accounts methodology,,,BPM5 (Converted into BPM6 by IMF),Actual,Special trade system,Consolidated central government,Enhanced General Data Dissemination System (e-GDDS),2016,"Iran’s Multiple Indicator Demographic and Health Survey, 2010","Expenditure survey/budget survey (ES/BS), 2016",Yes,2014,2014,2017,,,"('IRN','Iran','Islamic Republic of Iran','IR','Middle East & North Africa','Lower middle income','IR'),"
IRQ,Iraq,Iraq,Republic of Iraq,IQ,Iraqi dinar,,Middle East & North Africa,Upper middle income,IQ,2007,,Value added at producer prices (VAP),IBRD,,Country uses the 1968 System of National Accounts methodology,,,BPM6,,Special trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),1997,"Multiple Indicator Cluster Survey, 2018","Integrated household survey (IHS), 2012",,2011-2012,2011,2014,,,"('IRQ','Iraq','Republic of Iraq','IQ','Middle East & North Africa','Upper middle income','IQ'),"
ISL,Iceland,Iceland,Republic of Iceland,IS,Iceland krona,,Europe & Central Asia,High income,IS,Original chained constant price data are rescaled.,2015,Value added at basic prices (VAB),,,Country uses the 2008 System of National Accounts methodology,,,BPM6,,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),"2011. Population figures compiled from administrative registers in combination with other sources of data, such as sample surveys.",,"Income survey (IS), 2014",Yes,2010,2005,2018,,,"('ISL','Iceland','Republic of Iceland','IS','Europe & Central Asia','High income','IS'),"
ISR,Israel,Israel,State of Israel,IL,Israeli new shekel,,Middle East & North Africa,High income,IL,Original chained constant price data are rescaled.,2015,Value added at basic prices (VAB),,,Country uses the 2008 System of National Accounts methodology,,,BPM6,,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),"2020 (expected). Population figures compiled from administrative registers in combination with other sources of data, such as sample surveys.",,"Expenditure survey/budget survey (ES/BS), 2012",Yes,,2014,2018,,,"('ISR','Israel','State of Israel','IL','Middle East & North Africa','High income','IL'),"
ITA,Italy,Italy,Italian Republic,IT,Euro,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 1936.27 Italian lira. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",Europe & Central Asia,High income,IT,Original chained constant price data are rescaled.,2015,Value added at basic prices (VAB),,Euro area,Country uses the 2008 System of National Accounts methodology,,,BPM6,,Special trade system,Consolidated central government,Special Data Dissemination Standard Plus (SDDS Plus),"2012. Population figures compiled from administrative registers in combination with other sources of data, such as sample surveys.",,"Income survey (IS), 2015",Yes,2010,2014,2018,,,"('ITA','Italy','Italian Republic','IT','Europe & Central Asia','High income','IT'),"
JAM,Jamaica,Jamaica,Jamaica,JM,Jamaican dollar,,Latin America & Caribbean,Upper middle income,JM,2007,,Value added at basic prices (VAB),IBRD,,Country uses the 1993 System of National Accounts methodology,,,BPM6,Actual,Special trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),2011,"Multiple Indicator Cluster Survey, 2011","Living Standards Measurement Study Survey (LSMS), 2012",,2007,1996,2017,,,"('JAM','Jamaica','Jamaica','JM','Latin America & Caribbean','Upper middle income','JM'),"
JOR,Jordan,Jordan,Hashemite Kingdom of Jordan,JO,Jordanian dinar,,Middle East & North Africa,Upper middle income,JO,2016,,Value added at basic prices (VAB),IBRD,,Country uses the 2008 System of National Accounts methodology,,,BPM6,Actual,Special trade system,Budgetary central government,Special Data Dissemination Standard (SDDS),2015,"Demographic and Health Survey, 2017/18","Expenditure survey/budget survey (ES/BS), 2010",,2007,2013,2018,,,"('JOR','Jordan','Hashemite Kingdom of Jordan','JO','Middle East & North Africa','Upper middle income','JO'),"
JPN,Japan,Japan,Japan,JP,Japanese yen,Fiscal year end: March 31; reporting period for national accounts data: CY.,East Asia & Pacific,High income,JP,Original chained constant price data are rescaled.,2015,Value added at basic prices (VAB),,,Country uses the 2008 System of National Accounts methodology,,,BPM6,,General trade system,Consolidated central government,Special Data Dissemination Standard Plus (SDDS Plus),2020 (expected),,"Integrated household survey (IHS), 2008",Yes,2010,2012,2018,,,"('JPN','Japan','Japan','JP','East Asia & Pacific','High income','JP'),"
KAZ,Kazakhstan,Kazakhstan,Republic of Kazakhstan,KZ,Kazakh tenge,,Europe & Central Asia,Upper middle income,KZ,Original chained constant price data are rescaled.,2005,Value added at basic prices (VAB),IBRD,,Country uses the 1993 System of National Accounts methodology,,,BPM6,Actual,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2020 (expected),"Multiple Indicator Cluster Survey, 2015","Expenditure survey/budget survey (ES/BS), 2017",,2006-2007,2013,2018,,,"('KAZ','Kazakhstan','Republic of Kazakhstan','KZ','Europe & Central Asia','Upper middle income','KZ'),"
KEN,Kenya,Kenya,Republic of Kenya,KE,Kenyan shilling,Fiscal year end: June 30; reporting period for national accounts data: CY.,Sub-Saharan Africa,Lower middle income,KE,2016,,Value added at basic prices (VAB),Blend,,Country uses the 2008 System of National Accounts methodology,,,BPM6,Actual,General trade system,Consolidated central government,Enhanced General Data Dissemination System (e-GDDS),2009,"Malaria Indicator Survey, 2020","Integrated household survey (IHS), 2015/16",,,2013,2018,,,"('KEN','Kenya','Republic of Kenya','KE','Sub-Saharan Africa','Lower middle income','KE'),"
KGZ,Kyrgyz Republic,Kyrgyz Republic,Kyrgyz Republic,KG,Kyrgyz som,,Europe & Central Asia,Lower middle income,KG,Original chained constant price data are rescaled.,2010,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1993 System of National Accounts methodology,,,BPM6,Actual,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2020 (expected),"Multiple Indicator Cluster Survey, 2018","Integrated household survey (IHS), 2015",Yes,,2012,2018,,,"('KGZ','Kyrgyz Republic','Kyrgyz Republic','KG','Europe & Central Asia','Lower middle income','KG'),"
KHM,Cambodia,Cambodia,Kingdom of Cambodia,KH,Cambodian riel,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1963-2004. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",East Asia & Pacific,Lower middle income,KH,2000,,Value added at basic prices (VAB),IDA,,Country uses the 1993 System of National Accounts methodology,,,BPM6,Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),2019,"Demographic and Health Survey, 2020","Integrated household survey (IHS), 2012",,2013,2000,2016,,,"('KHM','Cambodia','Kingdom of Cambodia','KH','East Asia & Pacific','Lower middle income','KH'),"
KIR,Kiribati,Kiribati,Republic of Kiribati,KI,Australian dollar,,East Asia & Pacific,Lower middle income,KI,2006,,Value added at basic prices (VAB),IDA,,Country uses the 1993 System of National Accounts methodology,,,BPM6,,Special trade system,Consolidated central government,Enhanced General Data Dissemination System (e-GDDS),2015,"Multiple Indicator Cluster Survey, 2018/19","Expenditure survey/budget survey (ES/BS), 2006",,,,2016,,,"('KIR','Kiribati','Republic of Kiribati','KI','East Asia & Pacific','Lower middle income','KI'),"
KNA,St. Kitts and Nevis,St. Kitts and Nevis,St. Kitts and Nevis,KN,East Caribbean dollar,,Latin America & Caribbean,High income,KN,2006,,Value added at basic prices (VAB),IBRD,,Country uses the 2008 System of National Accounts methodology,,,BPM6,,Special trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),2011,,,Yes,,,2017,,,"('KNA','St. Kitts and Nevis','St. Kitts and Nevis','KN','Latin America & Caribbean','High income','KN'),"
KOR,Korea,"Korea, Rep.",Republic of Korea,KR,Korean won,,East Asia & Pacific,High income,KR,Original chained constant price data are rescaled.,2015,Value added at basic prices (VAB),,,Country uses the 2008 System of National Accounts methodology,,,BPM6,,General trade system,Budgetary central government,Special Data Dissemination Standard (SDDS),2020 (expected),,"Expenditure survey/budget survey (ES/BS), 2012",Yes,"2010, 2015",2014,2018,,,"('KOR','Korea','Republic of Korea','KR','East Asia & Pacific','High income','KR'),"
KWT,Kuwait,Kuwait,State of Kuwait,KW,Kuwaiti dinar,,Middle East & North Africa,High income,KW,2010,,Value added at basic prices (VAB),,,Country uses the 1993 System of National Accounts methodology,,,BPM6,,Special trade system,Consolidated central government,Enhanced General Data Dissemination System (e-GDDS),2020 (expected),"Family Health Survey, 1996",,Yes,,2013,2018,,,"('KWT','Kuwait','State of Kuwait','KW','Middle East & North Africa','High income','KW'),"
LAC,Latin America & Caribbean (excluding high income),Latin America & Caribbean (excluding high income),Latin America & Caribbean (excluding high income),XJ,,,,,XJ,,,,,,,,,,,,,,,,,,,,,,,"('LAC','Latin America & Caribbean (excluding high income)','Latin America & Caribbean (excluding high income)','XJ','','','XJ'),"
LAO,Lao PDR,Lao PDR,Lao People's Democratic Republic,LA,Lao kip,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1960-2020. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",East Asia & Pacific,Lower middle income,LA,2012,,Value added at basic prices (VAB),IDA,,Country uses the 2008 System of National Accounts methodology,,,BPM6,Estimate,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),2015,"Multiple Indicator Cluster Survey, 2017","Expenditure survey/budget survey (ES/BS), 2012",,2010-2011,1999,2016,,,"('LAO','Lao PDR','Lao People's Democratic Republic','LA','East Asia & Pacific','Lower middle income','LA'),"
LBN,Lebanon,Lebanon,Lebanese Republic,LB,Lebanese pound,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1984-2021. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",Middle East & North Africa,Lower middle income,LB,2010,,Value added at basic prices (VAB),IBRD,,Country uses the 2008 System of National Accounts methodology,,,BPM5 (Converted into BPM6 by IMF),Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),1943,"Family Health Survey, 2004","Expenditure survey/budget survey (ES/BS), 2011/12",Yes,2010,2007,2018,,,"('LBN','Lebanon','Lebanese Republic','LB','Middle East & North Africa','Lower middle income','LB'),"
LBR,Liberia,Liberia,Republic of Liberia,LR,Liberian dollar,National accounts data are provided in the US dollar.,Sub-Saharan Africa,Low income,LR,2016,,Value added at producer prices (VAP),IDA,HIPC,Country uses the 2008 System of National Accounts methodology,,,BPM6,Actual,,Consolidated central government,Enhanced General Data Dissemination System (e-GDDS),2020 (expected),"Demographic and Health Survey, 2019/20","Expenditure survey/budget survey (ES/BS), 2014",,,,,,,"('LBR','Liberia','Republic of Liberia','LR','Sub-Saharan Africa','Low income','LR'),"
LBY,Libya,Libya,Socialist People's Libyan Arab Jamahiriya,LY,Libyan dinar,,Middle East & North Africa,Upper middle income,LY,2013,,Value added at basic prices (VAB),IBRD,,Country uses the 1993 System of National Accounts methodology,,,BPM6,,,,Enhanced General Data Dissemination System (e-GDDS),2006,"STEPS Risk Factor Survey, 2010",,,,1980,2010,,,"('LBY','Libya','Socialist People's Libyan Arab Jamahiriya','LY','Middle East & North Africa','Upper middle income','LY'),"
LCA,St. Lucia,St. Lucia,St. Lucia,LC,East Caribbean dollar,,Latin America & Caribbean,Upper middle income,LC,2018,,Value added at basic prices (VAB),Blend,,Country uses the 2008 System of National Accounts methodology,,,BPM6,Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),2020 (expected),"Multiple Indicator Cluster Survey, 2012","Expenditure survey/budget survey (ES/BS), 2016",Yes,2007,1997,2017,,,"('LCA','St. Lucia','St. Lucia','LC','Latin America & Caribbean','Upper middle income','LC'),"
LCN,Latin America & Caribbean,Latin America & Caribbean,Latin America & Caribbean,ZJ,,,,,ZJ,,,,,,,,,,,,,,,,,,,,,,,"('LCN','Latin America & Caribbean','Latin America & Caribbean','ZJ','','','ZJ'),"
LDC,Least developed countries: UN classification,Least developed countries: UN classification,Least developed countries: UN classification,XL,,,,,XL,,,,,,,,,,,,,,,,,,,,,,,"('LDC','Least developed countries: UN classification','Least developed countries: UN classification','XL','','','XL'),"
LIC,Low income,Low income,Low income,XM,,"Low income group aggregate. Low-income economies are those in which 2021 GNI per capita was $1,085 or less.",,,XM,,,,,,,,,,,,,,,,,,,,,,,"('LIC','Low income','Low income','XM','','','XM'),"
LIE,Liechtenstein,Liechtenstein,Principality of Liechtenstein,LI,Swiss franc,,Europe & Central Asia,High income,LI,1998,,Value added at basic prices (VAB),,,Country uses the 2008 System of National Accounts methodology,,,,,Special trade system,,,"2020 (expected). Population figures compiled from administrative registers in combination with other sources of data, such as sample surveys.",,,Yes,,,,,,"('LIE','Liechtenstein','Principality of Liechtenstein','LI','Europe & Central Asia','High income','LI'),"
LKA,Sri Lanka,Sri Lanka,Democratic Socialist Republic of Sri Lanka,LK,Sri Lankan rupee,,South Asia,Lower middle income,LK,2010,,Value added at basic prices (VAB),IBRD,,Country uses the 2008 System of National Accounts methodology,,,BPM6,Actual,General trade system,Budgetary central government,Special Data Dissemination Standard (SDDS),2012,"Demographic and Health Survey, 2006/07","Expenditure survey/budget survey (ES/BS), 2016",Yes,2013-2014,2012,2017,,,"('LKA','Sri Lanka','Democratic Socialist Republic of Sri Lanka','LK','South Asia','Lower middle income','LK'),"
LMC,Lower middle income,Lower middle income,Lower middle income,XN,,"Lower middle income group aggregate. Lower-middle-income economies are those in which 2021 GNI per capita was between $1,086 and $4,255.",,,XN,,,,,,,,,,,,,,,,,,,,,,,"('LMC','Lower middle income','Lower middle income','XN','','','XN'),"
LMY,Low & middle income,Low & middle income,Low & middle income,XO,,"Low and middle-income group aggregate. Low and middle-income economies are those in which 2021 GNI per capita was less than $13,205.",,,XO,,,,,,,,,,,,,,,,,,,,,,,"('LMY','Low & middle income','Low & middle income','XO','','','XO'),"
LSO,Lesotho,Lesotho,Kingdom of Lesotho,LS,Lesotho loti,Fiscal year end: March 31; reporting period for national accounts data: CY.,Sub-Saharan Africa,Lower middle income,LS,2012,,Value added at basic prices (VAB),IDA,,Country uses the 2008 System of National Accounts methodology,,,BPM6,Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),2016,"Multiple Indicator Cluster Survey, 2018","Expenditure survey/budget survey (ES/BS), 2010",,2010,1985,2017,,,"('LSO','Lesotho','Kingdom of Lesotho','LS','Sub-Saharan Africa','Lower middle income','LS'),"
LTE,Late-demographic dividend,Late-demographic dividend,Late-demographic dividend,V3,,Late-dividend countries are mostly upper middle-income countries. Fertility rates are typically above replacement levels of 2.1 births per woman but continue to decline with shrinking working-age shares and rapid aging.,,,V3,,,,,,,,,,,,,,,,,,,,,,,"('LTE','Late-demographic dividend','Late-demographic dividend','V3','','','V3'),"
LTU,Lithuania,Lithuania,Republic of Lithuania,LT,Euro,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate entered into force on January 1, 2015: 1 euro = 3.45280 Lithuanian litas. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries.",Europe & Central Asia,High income,LT,Original chained constant price data are rescaled.,2015,Value added at basic prices (VAB),,Euro area,Country uses the 2008 System of National Accounts methodology,,,BPM6,,Special trade system,Consolidated central government,Special Data Dissemination Standard Plus (SDDS Plus),"2020 (expected). Population figures compiled from administrative registers in combination with other sources of data, such as sample surveys.",,"Income survey (IS), 2015",Yes,2010,2014,2018,,,"('LTU','Lithuania','Republic of Lithuania','LT','Europe & Central Asia','High income','LT'),"
LUX,Luxembourg,Luxembourg,Grand Duchy of Luxembourg,LU,Euro,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 40.3399 Luxembourg franc. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",Europe & Central Asia,High income,LU,Original chained constant price data are rescaled.,2015,Value added at basic prices (VAB),,Euro area,Country uses the 2008 System of National Accounts methodology,,,BPM6,,Special trade system,Consolidated central government,Special Data Dissemination Standard Plus (SDDS Plus),2011,,"Income survey (IS), 2015",Yes,2010,2013,2018,,,"('LUX','Luxembourg','Grand Duchy of Luxembourg','LU','Europe & Central Asia','High income','LU'),"
LVA,Latvia,Latvia,Republic of Latvia,LV,Euro,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate entered into force on January 1, 2014: 1 euro = 0.702804 Latvian lats. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries. Based on data from EUROSTAT, the new reference year is 2010.",Europe & Central Asia,High income,LV,Original chained constant price data are rescaled.,2015,Value added at basic prices (VAB),,Euro area,Country uses the 2008 System of National Accounts methodology,,,BPM6,,Special trade system,Consolidated central government,Special Data Dissemination Standard Plus (SDDS Plus),"2011. Population figures compiled from administrative registers in combination with other sources of data, such as sample surveys.","World Health Survey, 2003","Income survey (IS), 2015",Yes,2010,2013,2018,,,"('LVA','Latvia','Republic of Latvia','LV','Europe & Central Asia','High income','LV'),"
MAC,"Macao SAR, China","Macao SAR, China",Macao Special Administrative Region of the People's Republic of China,MO,Macao pataca,"On 20 December 1999 China resumed its exercise of sovereignty over Macao. Unless otherwise noted, data for China do not include data for Hong Kong SAR, China; Macao SAR, China; or Taiwan, China.",East Asia & Pacific,High income,MO,Original chained constant price data are rescaled.,2019,Value added at producer prices (VAP),,,Country uses the 2008 System of National Accounts methodology,,,BPM6,,General trade system,Consolidated central government,Enhanced General Data Dissemination System (e-GDDS),2016,,,Yes,,2013,2016,,,"('MAC','Macao SAR, China','Macao Special Administrative Region of the People's Republic of China','MO','East Asia & Pacific','High income','MO'),"
MAF,St. Martin (French part),St. Martin (French part),St. Martin (French part),MF,Euro,,Latin America & Caribbean,High income,MF,,,,,,,,,,,,,,2015,,,Yes,,,,,,"('MAF','St. Martin (French part)','St. Martin (French part)','MF','Latin America & Caribbean','High income','MF'),"
MAR,Morocco,Morocco,Kingdom of Morocco,MA,Moroccan dirham,,Middle East & North Africa,Lower middle income,MA,2007,,Value added at basic prices (VAB),IBRD,,Country uses the 2008 System of National Accounts methodology,,,BPM6,Actual,Special trade system,Budgetary central government,Special Data Dissemination Standard (SDDS),2014,"Morocco National Survey on Population and Family Health, 2010/11","Expenditure survey/budget survey (ES/BS), 2013",,,2013,2018,,,"('MAR','Morocco','Kingdom of Morocco','MA','Middle East & North Africa','Lower middle income','MA'),"
MCO,Monaco,Monaco,Principality of Monaco,MC,Euro,,Europe & Central Asia,High income,MC,Original chained constant price data are rescaled.,2014,Value added at basic prices (VAB),,,Country uses the 2008 System of National Accounts methodology,,,,,,,,2016. Population figures compiled from administrative registers.,,,Yes,,,,,,"('MCO','Monaco','Principality of Monaco','MC','Europe & Central Asia','High income','MC'),"
MDA,Moldova,Moldova,Republic of Moldova,MD,Moldovan leu,"Excluding Transnistria. For 1950-94, World Bank estimates using UN World Population Prospects' growth rates of whole Moldova.",Europe & Central Asia,Upper middle income,MD,Original chained constant price data are rescaled.,2010,Value added at basic prices (VAB),IBRD,,Country uses the 2008 System of National Accounts methodology,,,BPM6,Actual,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2014,"Multiple Indicator Cluster Survey, 2012","Expenditure survey/budget survey (ES/BS), 2017",Yes,2011,2012,2018,,,"('MDA','Moldova','Republic of Moldova','MD','Europe & Central Asia','Upper middle income','MD'),"
MDG,Madagascar,Madagascar,Republic of Madagascar,MG,Malagasy ariary,,Sub-Saharan Africa,Low income,MG,2007,,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1993 System of National Accounts methodology,,,BPM6,Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),2018,"Demographic and Health Survey, 2021","Priority survey (PS), 2012",,,2006,2018,,,"('MDG','Madagascar','Republic of Madagascar','MG','Sub-Saharan Africa','Low income','MG'),"
MDV,Maldives,Maldives,Republic of Maldives,MV,Maldivian rufiyaa,,South Asia,Upper middle income,MV,2014,,Value added at basic prices (VAB),IDA,,Country uses the 1993 System of National Accounts methodology,,,BPM6,Actual,General trade system,Consolidated central government,Enhanced General Data Dissemination System (e-GDDS),2014,"Demographic and Health Survey, 2016/17","Integrated household survey (IHS), 2009/10",Yes,,,2018,,,"('MDV','Maldives','Republic of Maldives','MV','South Asia','Upper middle income','MV'),"
MEA,Middle East & North Africa,Middle East & North Africa,Middle East & North Africa,ZQ,,Middle East and North Africa regional aggregate (includes all income levels).,,,ZQ,,,,,,,,,,,,,,,,,,,,,,,"('MEA','Middle East & North Africa','Middle East & North Africa','ZQ','','','ZQ'),"
MEX,Mexico,Mexico,United Mexican States,MX,Mexican peso,,Latin America & Caribbean,Upper middle income,MX,2013,,Value added at basic prices (VAB),IBRD,,Country uses the 2008 System of National Accounts methodology,,,BPM6,Actual,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2020 (expected),"Multiple Indicator Cluster Survey, 2015","Integrated household survey (IHS), 2016",Yes,2007,2013,2018,,,"('MEX','Mexico','United Mexican States','MX','Latin America & Caribbean','Upper middle income','MX'),"
